ticket_id,account_id,area,opened_at,subject,body,status
TICKET-005027,ACCOUNT-1005,access,2026-06-20T20:45:18Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005028,ACCOUNT-1003,payments,2026-07-15T07:44:06Z,Payment failed but the money left the account,The screen said failed. The balance says otherwise.,closed
TICKET-005029,ACCOUNT-1001,cards,2026-08-23T08:46:40Z,Card declined in a shop,Declined twice at a builders merchant with money in the account.,closed
TICKET-005030,ACCOUNT-1005,statements,2026-06-30T10:03:22Z,Export will not download,The download starts and then stops at nothing.,closed
TICKET-005031,ACCOUNT-1003,scheduled-payments,2026-07-03T12:03:45Z,The rent was taken twice,"Same amount, same day, twice. We are now overdrawn.",closed
TICKET-005032,ACCOUNT-1001,payments,2026-07-22T03:10:52Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005033,ACCOUNT-1002,account-restrictions,2026-07-11T14:39:17Z,Why is the account restricted?,It happened overnight with no warning and no explanation.,closed
TICKET-005034,ACCOUNT-1008,fees,2026-06-25T23:48:36Z,What is this monthly fee?,The fee went up this month and we were not told.,closed
TICKET-005035,ACCOUNT-1001,fees,2026-06-10T09:58:41Z,Charged for a payment that failed,The payment did not go through and we were still charged for it.,closed
TICKET-005036,ACCOUNT-1007,payments,2026-07-25T06:49:12Z,Payment sent but it has not arrived,Sent on Tuesday morning to a supplier. They say nothing has come in.,closed
TICKET-005037,ACCOUNT-1003,access,2026-07-08T21:19:53Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005038,ACCOUNT-1003,payments,2026-07-22T16:17:57Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005039,ACCOUNT-1003,fees,2026-06-12T03:47:51Z,Credit line interest is higher than we were quoted,We were quoted one rate and the statement shows another.,closed
TICKET-005040,ACCOUNT-1004,fees,2026-08-13T22:30:07Z,Credit line interest is higher than we were quoted,We were quoted one rate and the statement shows another.,closed
TICKET-005041,ACCOUNT-1009,fees,2026-07-06T23:10:11Z,Unexpected charge on the statement,There is a charge on the 14th that nobody here recognises.,closed
TICKET-005042,ACCOUNT-1002,payments,2026-06-21T15:14:05Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005043,ACCOUNT-1002,cards,2026-08-13T20:38:39Z,New card has not arrived,Ordered three weeks ago for a new starter.,closed
TICKET-005044,ACCOUNT-1003,access,2026-06-17T17:13:35Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005045,ACCOUNT-1005,cards,2026-08-09T04:00:16Z,"Lost card, needs blocking now",Card lost this morning. Please block it.,closed
TICKET-005046,ACCOUNT-1003,payments,2026-08-30T19:11:11Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005047,ACCOUNT-1003,access,2026-07-02T03:36:40Z,Locked out and the code is not arriving,The text message never comes. I have tried for an hour.,closed
TICKET-005048,ACCOUNT-1001,access,2026-07-13T05:21:53Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005049,ACCOUNT-1001,payments,2026-08-04T05:50:44Z,Payment failed but the money left the account,The screen said failed. The balance says otherwise.,closed
TICKET-005050,ACCOUNT-1001,cards,2026-08-19T12:20:25Z,"Lost card, needs blocking now",Card lost this morning. Please block it.,closed
TICKET-005051,ACCOUNT-1002,cards,2026-07-31T04:19:35Z,New card has not arrived,Ordered three weeks ago for a new starter.,closed
TICKET-005052,ACCOUNT-1003,payments,2026-06-11T01:53:20Z,How long does a payment take to arrive?,We have been told same day and we have been told two days.,closed
TICKET-005053,ACCOUNT-1010,scheduled-payments,2026-07-29T13:19:08Z,The rent was taken twice,"Same amount, same day, twice. We are now overdrawn.",closed
TICKET-005054,ACCOUNT-1005,payments,2026-06-29T22:34:10Z,How long does a payment take to arrive?,We have been told same day and we have been told two days.,closed
TICKET-005055,ACCOUNT-1003,scheduled-payments,2026-06-13T13:09:52Z,The rent was taken twice,"Same amount, same day, twice. We are now overdrawn.",closed
TICKET-005056,ACCOUNT-1001,cards,2026-08-12T02:29:04Z,New card has not arrived,Ordered three weeks ago for a new starter.,closed
TICKET-005057,ACCOUNT-1003,payments,2026-07-20T13:20:02Z,Payment sent but it has not arrived,Sent on Tuesday morning to a supplier. They say nothing has come in.,closed
TICKET-005058,ACCOUNT-1008,statements,2026-06-14T19:39:09Z,Need statements for the accountant,Our accountant needs the last two quarters as one file.,closed
TICKET-005059,ACCOUNT-1001,fees,2026-06-14T01:14:30Z,What is this monthly fee?,The fee went up this month and we were not told.,closed
TICKET-005060,ACCOUNT-1003,access,2026-08-22T19:22:36Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005061,ACCOUNT-1003,statements,2026-07-09T22:46:11Z,Need statements for the accountant,Our accountant needs the last two quarters as one file.,closed
TICKET-005062,ACCOUNT-1007,account-restrictions,2026-07-29T21:55:06Z,Account frozen and we cannot pay staff,Payroll is Friday. Nobody can tell us anything.,closed
TICKET-005063,ACCOUNT-1002,account-opening,2026-08-14T21:33:18Z,Application still pending after a week,We applied on the 2nd and it still says in review. We need the account to pay suppliers.,closed
TICKET-005064,ACCOUNT-1001,payments,2026-08-14T09:56:43Z,Payment sent but it has not arrived,Sent on Tuesday morning to a supplier. They say nothing has come in.,closed
TICKET-005065,ACCOUNT-1001,payments,2026-07-10T00:13:34Z,Payment sent but it has not arrived,Sent on Tuesday morning to a supplier. They say nothing has come in.,closed
TICKET-005066,ACCOUNT-1001,cards,2026-07-15T08:09:45Z,New card has not arrived,Ordered three weeks ago for a new starter.,closed
TICKET-005067,ACCOUNT-1005,fees,2026-06-16T15:04:07Z,Charged for a payment that failed,The payment did not go through and we were still charged for it.,closed
TICKET-005068,ACCOUNT-1001,payments,2026-08-20T01:23:25Z,How long does a payment take to arrive?,We have been told same day and we have been told two days.,closed
TICKET-005069,ACCOUNT-1004,access,2026-06-22T21:52:07Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005070,ACCOUNT-1004,cards,2026-08-06T02:51:07Z,Cards declining abroad for the whole team,Three of us are at a trade fair and none of the cards work.,closed
TICKET-005071,ACCOUNT-1006,access,2026-08-17T09:53:12Z,Locked out and the code is not arriving,The text message never comes. I have tried for an hour.,closed
TICKET-005072,ACCOUNT-1003,statements,2026-07-16T17:39:25Z,Need statements for the accountant,Our accountant needs the last two quarters as one file.,closed
TICKET-005073,ACCOUNT-1002,scheduled-payments,2026-08-12T13:34:01Z,How do I cancel a scheduled payment?,I cannot find where to stop one that is already set up.,closed
TICKET-005074,ACCOUNT-1006,statements,2026-07-08T02:06:15Z,Export will not download,The download starts and then stops at nothing.,closed
TICKET-005075,ACCOUNT-1005,access,2026-06-17T14:59:16Z,Locked out and the code is not arriving,The text message never comes. I have tried for an hour.,closed
TICKET-005076,ACCOUNT-1001,access,2026-08-04T16:15:25Z,Locked out and the code is not arriving,The text message never comes. I have tried for an hour.,closed
TICKET-005077,ACCOUNT-1006,payments,2026-06-04T19:12:05Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005078,ACCOUNT-1003,account-opening,2026-06-21T23:56:27Z,Which documents do you actually need?,The list on the site and the email we got ask for different things.,closed
TICKET-005079,ACCOUNT-1005,access,2026-06-02T01:56:11Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005080,ACCOUNT-1006,payments,2026-06-25T03:25:45Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005081,ACCOUNT-1010,cards,2026-07-08T02:05:02Z,Cards declining abroad for the whole team,Three of us are at a trade fair and none of the cards work.,closed
TICKET-005082,ACCOUNT-1003,fees,2026-06-25T08:54:08Z,Charged for a payment that failed,The payment did not go through and we were still charged for it.,closed
TICKET-005083,ACCOUNT-1003,cards,2026-08-14T12:16:25Z,"Lost card, needs blocking now",Card lost this morning. Please block it.,closed
TICKET-005084,ACCOUNT-1004,payments,2026-07-10T10:05:41Z,Payment sent but it has not arrived,Sent on Tuesday morning to a supplier. They say nothing has come in.,closed
TICKET-005085,ACCOUNT-1010,cards,2026-08-06T12:28:50Z,Cards declining abroad for the whole team,Three of us are at a trade fair and none of the cards work.,closed
TICKET-005086,ACCOUNT-1002,access,2026-06-06T19:22:04Z,Locked out and the code is not arriving,The text message never comes. I have tried for an hour.,closed
TICKET-005087,ACCOUNT-1002,cards,2026-08-02T09:08:49Z,New card has not arrived,Ordered three weeks ago for a new starter.,closed
TICKET-005088,ACCOUNT-1003,fees,2026-06-16T04:58:54Z,Unexpected charge on the statement,There is a charge on the 14th that nobody here recognises.,closed
TICKET-005089,ACCOUNT-1001,fees,2026-06-12T12:13:11Z,Unexpected charge on the statement,There is a charge on the 14th that nobody here recognises.,closed
TICKET-005090,ACCOUNT-1006,statements,2026-06-06T21:43:14Z,Statement missing for last month,July is not in the list. June and August are.,closed
TICKET-005091,ACCOUNT-1006,statements,2026-06-18T22:14:01Z,Statement missing for last month,July is not in the list. June and August are.,closed
TICKET-005092,ACCOUNT-1001,payments,2026-07-10T08:16:50Z,Payment sent but it has not arrived,Sent on Tuesday morning to a supplier. They say nothing has come in.,closed
TICKET-005093,ACCOUNT-1001,cards,2026-07-08T03:23:35Z,Card declined in a shop,Declined twice at a builders merchant with money in the account.,closed
TICKET-005094,ACCOUNT-1002,access,2026-07-30T06:43:04Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005095,ACCOUNT-1002,statements,2026-07-31T18:52:54Z,Need statements for the accountant,Our accountant needs the last two quarters as one file.,closed
TICKET-005096,ACCOUNT-1003,payments,2026-08-05T04:27:55Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005097,ACCOUNT-1006,cards,2026-07-04T14:40:54Z,Cards declining abroad for the whole team,Three of us are at a trade fair and none of the cards work.,closed
TICKET-005098,ACCOUNT-1007,cards,2026-08-02T12:25:30Z,Cards declining abroad for the whole team,Three of us are at a trade fair and none of the cards work.,closed
TICKET-005099,ACCOUNT-1004,payments,2026-08-15T19:22:46Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005100,ACCOUNT-1009,scheduled-payments,2026-07-25T04:54:56Z,How do I cancel a scheduled payment?,I cannot find where to stop one that is already set up.,closed
TICKET-005101,ACCOUNT-1008,statements,2026-08-15T15:57:51Z,Export will not download,The download starts and then stops at nothing.,closed
TICKET-005102,ACCOUNT-1003,cards,2026-08-28T07:15:31Z,Card declined in a shop,Declined twice at a builders merchant with money in the account.,closed
TICKET-005103,ACCOUNT-1001,cards,2026-07-23T22:56:34Z,"Lost card, needs blocking now",Card lost this morning. Please block it.,closed
TICKET-005104,ACCOUNT-1002,payments,2026-08-20T08:29:34Z,Payment failed but the money left the account,The screen said failed. The balance says otherwise.,closed
TICKET-005105,ACCOUNT-1007,account-restrictions,2026-07-03T22:09:26Z,Account frozen and we cannot pay staff,Payroll is Friday. Nobody can tell us anything.,closed
TICKET-005106,ACCOUNT-1005,cards,2026-07-01T19:40:38Z,"Lost card, needs blocking now",Card lost this morning. Please block it.,closed
TICKET-005107,ACCOUNT-1002,fees,2026-06-24T00:23:37Z,Credit line interest is higher than we were quoted,We were quoted one rate and the statement shows another.,closed
TICKET-005108,ACCOUNT-1004,payments,2026-08-27T21:35:06Z,How long does a payment take to arrive?,We have been told same day and we have been told two days.,closed
TICKET-005109,ACCOUNT-1005,account-opening,2026-08-29T14:43:41Z,Application still pending after a week,We applied on the 2nd and it still says in review. We need the account to pay suppliers.,closed
TICKET-005110,ACCOUNT-1002,scheduled-payments,2026-08-07T16:50:19Z,Scheduled payment did not go out,The insurance payment was due on the 1st and did not leave.,closed
TICKET-005111,ACCOUNT-1002,payments,2026-08-22T05:02:17Z,How long does a payment take to arrive?,We have been told same day and we have been told two days.,closed
TICKET-005112,ACCOUNT-1001,access,2026-07-08T19:10:53Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005113,ACCOUNT-1005,payments,2026-06-28T18:01:38Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005114,ACCOUNT-1001,fees,2026-07-05T16:41:33Z,Unexpected charge on the statement,There is a charge on the 14th that nobody here recognises.,closed
TICKET-005115,ACCOUNT-1005,payments,2026-07-18T19:13:37Z,Payment failed but the money left the account,The screen said failed. The balance says otherwise.,closed
TICKET-005116,ACCOUNT-1003,statements,2026-06-12T23:54:08Z,Need statements for the accountant,Our accountant needs the last two quarters as one file.,closed
TICKET-005117,ACCOUNT-1010,scheduled-payments,2026-08-07T02:36:37Z,How do I cancel a scheduled payment?,I cannot find where to stop one that is already set up.,closed
TICKET-005118,ACCOUNT-1003,payments,2026-08-11T13:17:05Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005119,ACCOUNT-1002,payments,2026-08-28T20:38:22Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005120,ACCOUNT-1004,access,2026-07-27T22:51:36Z,Locked out and the code is not arriving,The text message never comes. I have tried for an hour.,closed
TICKET-005121,ACCOUNT-1002,payments,2026-06-07T10:18:13Z,How long does a payment take to arrive?,We have been told same day and we have been told two days.,closed
TICKET-005122,ACCOUNT-1007,access,2026-06-15T17:23:06Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005123,ACCOUNT-1003,scheduled-payments,2026-07-08T13:04:08Z,The rent was taken twice,"Same amount, same day, twice. We are now overdrawn.",closed
TICKET-005124,ACCOUNT-1001,account-opening,2026-08-23T10:16:56Z,Application still pending after a week,We applied on the 2nd and it still says in review. We need the account to pay suppliers.,closed
TICKET-005125,ACCOUNT-1005,scheduled-payments,2026-07-07T09:40:02Z,How do I cancel a scheduled payment?,I cannot find where to stop one that is already set up.,closed
TICKET-005126,ACCOUNT-1008,fees,2026-07-10T02:40:25Z,Unexpected charge on the statement,There is a charge on the 14th that nobody here recognises.,closed
TICKET-005127,ACCOUNT-1005,fees,2026-06-09T20:35:53Z,What is this monthly fee?,The fee went up this month and we were not told.,closed
TICKET-005128,ACCOUNT-1001,statements,2026-07-04T04:31:57Z,Export will not download,The download starts and then stops at nothing.,closed
TICKET-005129,ACCOUNT-1003,payments,2026-06-20T19:23:28Z,Payment sent but it has not arrived,Sent on Tuesday morning to a supplier. They say nothing has come in.,closed
TICKET-005130,ACCOUNT-1003,cards,2026-07-09T19:07:31Z,New card has not arrived,Ordered three weeks ago for a new starter.,closed
TICKET-005131,ACCOUNT-1004,account-restrictions,2026-06-12T17:14:30Z,Why is the account restricted?,It happened overnight with no warning and no explanation.,closed
TICKET-005132,ACCOUNT-1003,payments,2026-06-09T10:08:25Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005133,ACCOUNT-1003,fees,2026-07-14T03:09:51Z,Charged for a payment that failed,The payment did not go through and we were still charged for it.,closed
TICKET-005134,ACCOUNT-1005,fees,2026-06-13T13:00:14Z,Credit line interest is higher than we were quoted,We were quoted one rate and the statement shows another.,closed
TICKET-005135,ACCOUNT-1003,payments,2026-06-20T08:11:17Z,Payment failed but the money left the account,The screen said failed. The balance says otherwise.,closed
TICKET-005136,ACCOUNT-1003,scheduled-payments,2026-08-26T02:20:48Z,How do I cancel a scheduled payment?,I cannot find where to stop one that is already set up.,closed
TICKET-005137,ACCOUNT-1006,access,2026-07-24T21:46:29Z,Locked out and the code is not arriving,The text message never comes. I have tried for an hour.,closed
TICKET-005138,ACCOUNT-1006,fees,2026-08-25T21:22:41Z,Unexpected charge on the statement,There is a charge on the 14th that nobody here recognises.,closed
TICKET-005139,ACCOUNT-1001,cards,2026-07-15T03:22:54Z,"Lost card, needs blocking now",Card lost this morning. Please block it.,closed
TICKET-005140,ACCOUNT-1004,cards,2026-06-05T18:30:46Z,Card declined in a shop,Declined twice at a builders merchant with money in the account.,closed
TICKET-005141,ACCOUNT-1005,scheduled-payments,2026-08-31T06:52:43Z,How do I cancel a scheduled payment?,I cannot find where to stop one that is already set up.,closed
TICKET-005142,ACCOUNT-1001,cards,2026-08-21T13:00:43Z,Cards declining abroad for the whole team,Three of us are at a trade fair and none of the cards work.,closed
TICKET-005143,ACCOUNT-1003,cards,2026-06-15T11:36:58Z,Cards declining abroad for the whole team,Three of us are at a trade fair and none of the cards work.,closed
TICKET-005144,ACCOUNT-1001,account-restrictions,2026-07-06T17:57:11Z,Why is the account restricted?,It happened overnight with no warning and no explanation.,closed
TICKET-005145,ACCOUNT-1007,account-opening,2026-07-26T12:47:29Z,Which documents do you actually need?,The list on the site and the email we got ask for different things.,closed
TICKET-005146,ACCOUNT-1007,statements,2026-07-22T11:00:03Z,Need statements for the accountant,Our accountant needs the last two quarters as one file.,closed
TICKET-005147,ACCOUNT-1001,account-opening,2026-06-23T15:18:43Z,Application still pending after a week,We applied on the 2nd and it still says in review. We need the account to pay suppliers.,closed
TICKET-005148,ACCOUNT-1001,cards,2026-08-03T11:52:06Z,New card has not arrived,Ordered three weeks ago for a new starter.,closed
TICKET-005149,ACCOUNT-1003,cards,2026-07-26T21:08:00Z,Card declined in a shop,Declined twice at a builders merchant with money in the account.,closed
TICKET-005150,ACCOUNT-1005,statements,2026-06-07T12:18:10Z,Need statements for the accountant,Our accountant needs the last two quarters as one file.,closed
